LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,OILP_USD_BAR,Flag Codes
CAN,OILIMPPRICE,TOT,USD_BAR,A,2000,29.1,
CAN,OILIMPPRICE,TOT,USD_BAR,A,2001,24.87,
CAN,OILIMPPRICE,TOT,USD_BAR,A,2002,24.97,
CAN,OILIMPPRICE,TOT,USD_BAR,A,2003,29.53,
CAN,OILIMPPRICE,TOT,USD_BAR,A,2004,38.13,
CAN,OILIMPPRICE,TOT,USD_BAR,A,2005,52.37,
CAN,OILIMPPRICE,TOT,USD_BAR,A,2006,64.33,
CAN,OILIMPPRICE,TOT,USD_BAR,A,2007,70.04,
CAN,OILIMPPRICE,TOT,USD_BAR,A,2008,101.41,
CAN,OILIMPPRICE,TOT,USD_BAR,A,2009,60.29,
CAN,OILIMPPRICE,TOT,USD_BAR,A,2010,79.14,
CAN,OILIMPPRICE,TOT,USD_BAR,A,2011,110.8,
CAN,OILIMPPRICE,TOT,USD_BAR,A,2012,110.61,
CAN,OILIMPPRICE,TOT,USD_BAR,A,2013,108.6,
CAN,OILIMPPRICE,TOT,USD_BAR,A,2014,98.6,
CAN,OILIMPPRICE,TOT,USD_BAR,A,2015,53.48,
CAN,OILIMPPRICE,TOT,USD_BAR,A,2016,43.6,
CAN,OILIMPPRICE,TOT,USD_BAR,A,2017,54.3,
CAN,OILIMPPRICE,TOT,USD_BAR,A,2018,70.88,
CAN,OILIMPPRICE,TOT,USD_BAR,A,2019,63.12,
CAN,OILIMPPRICE,TOT,USD_BAR,A,2020,45.79,
CAN,OILIMPPRICE,TOT,USD_BAR,A,2021,69.44,
DEU,OILIMPPRICE,TOT,USD_BAR,A,2000,28.09,
DEU,OILIMPPRICE,TOT,USD_BAR,A,2001,24.15,
DEU,OILIMPPRICE,TOT,USD_BAR,A,2002,24.4,
DEU,OILIMPPRICE,TOT,USD_BAR,A,2003,28.44,
DEU,OILIMPPRICE,TOT,USD_BAR,A,2004,36.65,
DEU,OILIMPPRICE,TOT,USD_BAR,A,2005,52.3,
DEU,OILIMPPRICE,TOT,USD_BAR,A,2006,63.29,
DEU,OILIMPPRICE,TOT,USD_BAR,A,2007,71.6,
DEU,OILIMPPRICE,TOT,USD_BAR,A,2008,96.7,
DEU,OILIMPPRICE,TOT,USD_BAR,A,2009,61.18,
DEU,OILIMPPRICE,TOT,USD_BAR,A,2010,78.49,
DEU,OILIMPPRICE,TOT,USD_BAR,A,2011,110.63,
DEU,OILIMPPRICE,TOT,USD_BAR,A,2012,112.21,
DEU,OILIMPPRICE,TOT,USD_BAR,A,2013,109.62,
DEU,OILIMPPRICE,TOT,USD_BAR,A,2014,99.76,
DEU,OILIMPPRICE,TOT,USD_BAR,A,2015,52.65,
DEU,OILIMPPRICE,TOT,USD_BAR,A,2016,42.8,
DEU,OILIMPPRICE,TOT,USD_BAR,A,2017,54.02,
DEU,OILIMPPRICE,TOT,USD_BAR,A,2018,70.5,
DEU,OILIMPPRICE,TOT,USD_BAR,A,2019,64.43,
DEU,OILIMPPRICE,TOT,USD_BAR,A,2020,43.05,
DEU,OILIMPPRICE,TOT,USD_BAR,A,2021,71.19,
FRA,OILIMPPRICE,TOT,USD_BAR,A,2000,28.18,
FRA,OILIMPPRICE,TOT,USD_BAR,A,2001,24.13,
FRA,OILIMPPRICE,TOT,USD_BAR,A,2002,24.63,
FRA,OILIMPPRICE,TOT,USD_BAR,A,2003,28.87,
FRA,OILIMPPRICE,TOT,USD_BAR,A,2004,37.61,
FRA,OILIMPPRICE,TOT,USD_BAR,A,2005,52.74,
FRA,OILIMPPRICE,TOT,USD_BAR,A,2006,63.69,
FRA,OILIMPPRICE,TOT,USD_BAR,A,2007,72.22,
FRA,OILIMPPRICE,TOT,USD_BAR,A,2008,97.63,
FRA,OILIMPPRICE,TOT,USD_BAR,A,2009,61.64,
FRA,OILIMPPRICE,TOT,USD_BAR,A,2010,79.78,
FRA,OILIMPPRICE,TOT,USD_BAR,A,2011,111.78,
FRA,OILIMPPRICE,TOT,USD_BAR,A,2012,112.01,
FRA,OILIMPPRICE,TOT,USD_BAR,A,2013,109.56,
FRA,OILIMPPRICE,TOT,USD_BAR,A,2014,99.4,
FRA,OILIMPPRICE,TOT,USD_BAR,A,2015,53.14,
FRA,OILIMPPRICE,TOT,USD_BAR,A,2016,43.48,
FRA,OILIMPPRICE,TOT,USD_BAR,A,2017,54.47,
FRA,OILIMPPRICE,TOT,USD_BAR,A,2018,71.59,
FRA,OILIMPPRICE,TOT,USD_BAR,A,2019,64.98,
FRA,OILIMPPRICE,TOT,USD_BAR,A,2020,44.04,
